depth;potential.temperature;salinity
8.75;25.415;34.2459
8.75;24.5711;34.2772
8.75;24.3827;34.279
8.75;24.0109;34.2945
8.75;24.3282;34.3308
8.75;24.5726;34.3913
8.75;24.3627;34.401
8.75;23.7541;34.4066
8.75;23.3565;34.461
8.75;23.0432;34.4644
8.75;23.3412;34.4679
8.75;23.1822;34.4686
8.75;24.4448;34.4692
8.75;23.5231;34.4853
8.75;23.44;34.487
8.75;23.4279;34.4938
8.75;21.9885;34.5316
8.75;23.1129;34.5574
8.75;22.4506;34.5667
8.75;23.6326;34.5795
8.75;22.1476;34.581
8.75;21.3048;34.5897
8.75;23.5409;34.6004
8.75;23.6655;34.6166
8.75;23.6412;34.6298
8.75;23.6897;34.64
8.75;23.7122;34.6487
8.75;23.8151;34.6608
9;26.2135;33.7971
9;26.1429;33.8046
9;25.7057;33.8426
9;25.3149;33.8974
9;25.1203;33.9012
9;25.1881;33.9309
9;25.2101;33.9337
9;25.1988;33.9477
9;25.0959;34.0107
9;25.0288;34.0663
9;25.1093;34.0792
9;24.9291;34.0987
9;24.7041;34.1179
9;24.0435;34.1345
9;24.1046;34.1855
9;24.4137;34.2173
9;24.2784;34.2295
9;24.7999;34.2299
9;25.1142;34.2343
9;25.3733;34.2434
9;24.5567;34.2748
9;24.3825;34.2789
9;24.0083;34.2948
9;24.3107;34.3308
9;24.5732;34.3912
9;24.3714;34.4012
9;23.753;34.4061
9;23.3585;34.4606
9;23.0291;34.4646
9;23.341;34.4679
9;23.1822;34.4686
9;24.3735;34.4709
9;23.4711;34.4834
9;23.5313;34.4852
9;23.4409;34.487
9;21.989;34.5315
9;23.1128;34.5574
9;22.4528;34.5671
9;23.6367;34.5793
9;22.1484;34.581
9;21.3041;34.5897
9;23.5406;34.6006
9;23.6653;34.6168
9;23.6495;34.6308
9;23.671;34.6404
9;23.7176;34.6474
9;23.8157;34.6609
9.25;26.214;33.7971
9.25;26.1421;33.8048
9.25;25.7046;33.8425
9.25;25.3109;33.8966
9.25;25.118;33.902
9.25;25.1844;33.9309
9.25;25.2102;33.9339
9.25;25.1983;33.9478
9.25;25.0955;34.0103
9.25;24.9769;34.0628
9.25;25.1182;34.0795
9.25;24.9289;34.0989
9.25;24.694;34.1174
9.25;24.0423;34.134
9.25;24.1041;34.1857
9.25;24.376;34.2207
9.25;24.2763;34.2295
9.25;24.7968;34.2304
9.25;25.1145;34.2343
9.25;25.3487;34.2438
9.25;24.5356;34.2756
9.25;24.3822;34.2789
9.25;24.0041;34.2952
9.25;24.2973;34.3308
9.25;24.5705;34.3913
9.25;24.3572;34.3959
9.25;23.7526;34.4063
9.25;23.0041;34.4605
9.25;23.3518;34.4611
9.25;23.3399;34.4678
9.25;23.1822;34.4685
9.25;24.342;34.4752
9.25;23.4756;34.4832
9.25;23.5296;34.4854
9.25;23.4406;34.487
9.25;21.9893;34.5316
